;Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
116;Local comercial;Chorrillos;0;3;0;241;22000.0;9384.0;
117;Casa de villa;Ate;2;1;0;70;1300.0;;
118;Departamento;San Miguel;3;1;0;172;2700.0;780.0;170.0
119;Departamento;Callao;4;3;2;261;2800.0;2535.0;3900.0
120;Almacén;Chaclacayo;0;10;0;13010;100000.0;;12000.0
121;Departamento;Comas;3;1;1;145;8000.0;14768.0;4394.0
122;Departamento;Santa Rosa;2;1;0;53;1100.0;160.0;
123;Habitación;San Borja;1;0;0;29;1200.0;460.0;
124;Departamento;Chorrillos;2;1;1;83;2800.0;560.0;138.0
125;Departamento;Chorrillos;2;1;1;80;4300.0;1178.0;187.0
126;Departamento;Pueblo Libre;3;1;2;250;13900.0;2500.0;
127;Local comercial;Pachacámac;0;0;0;40;1500.0;637.0;84.0
128;Local comercial;Pachacámac;0;0;0;48;1400.0;729.0;157.0
129;Local comercial;Puente Piedra;0;64;0;4800;312000.0;92000.0;
130;Local comercial;Punta Negra;0;0;0;30;800.0;592.0;162.0
131;Departamento;Rímac;3;2;1;147;7500.0;1028.0;247.0
132;Departamento;San Borja;2;1;0;67;3500.0;950.0;160.0
133;Departamento;Comas;3;1;1;150;25000.0;1616.0;4255.0
134;Departamento;Ate;4;3;2;220;7500.0;3911.0;716.0
135;Departamento;Lurín;2;0;0;77;2400.0;1130.0;140.0
136;Local comercial;Pachacámac;0;0;0;55;900.0;1240.0;240.0
137;Departamento;Lurín;2;1;0;55;1350.0;430.0;47.0
138;Casa;San Luis;8;3;5;259;7000.0;;
139;Departamento;Rímac;3;1;0;85;3900.0;800.0;1211.0
140;Departamento;Lurín;2;0;0;75;3350.0;455.0;
141;Departamento;Jesús María;3;2;1;90;1200.0;880.0;144.0
142;Casa;Breña;1;0;0;33;1200.0;;
143;Habitación;La Punta;1;0;0;16;1400.0;300.0;210.0
144;Local comercial;Pachacámac;0;0;0;212;13000.0;4700.0;1350.0
145;Local comercial;Callao;0;0;0;22;490.0;450.0;525.0
146;Local comercial;Ate;0;1;0;20;445.0;791.0;1041.0
147;Departamento;Chorrillos;2;0;0;80;900.0;350.0;
148;Departamento;Ventanilla;1;0;0;37;1000.0;285.0;24.0
149;Almacén;Comas;0;0;0;550;4300.0;;
150;Local comercial;Lince;0;0;0;20;800.0;;
151;Local comercial;Rímac;0;1;0;27;1500.0;580.0;
152;Departamento;San Borja;3;0;0;150;5500.0;1780.0;420.0
153;Departamento;Pueblo Libre;3;1;1;127;5000.0;1540.0;370.0
154;Departamento;Callao;2;1;1;74;1700.0;652.0;104.0
155;Local comercial;Ate;0;1;0;32;1300.0;935.0;217.0
156;Local comercial;Ate;0;0;0;28;800.0;550.0;
157;Local comercial;Ate;0;1;0;45;1600.0;1100.0;350.0
158;Departamento;Ate;3;2;1;128;3000.0;1384.0;324.0
159;Terreno;Ate;0;0;0;1110;140000.0;;
160;Departamento;La Perla;3;1;1;160;8000.0;2000.0;
161;Local comercial;Pachacámac;0;0;0;154;3900.0;5100.0;559.0
162;Departamento;San Borja;3;1;1;200;6200.0;1800.0;420.0
163;Departamento;Ate;2;1;0;58;1500.0;666.0;106.0
164;Departamento;Chorrillos;3;1;1;100;5500.0;1300.0;220.0
165;Departamento;Ate;4;2;3;320;5500.0;2700.0;800.0
166;Departamento;Magdalena del Mar;2;1;0;50;1100.0;;
167;Departamento;Jesús María;2;1;1;75;1000.0;1040.0;112.0
168;Local comercial;Ate;0;0;0;21;1200.0;588.0;
169;Local comercial;Callao;0;0;0;22;500.0;600.0;85.0
170;Departamento;Comas;2;0;2;52;10000.0;3689.0;393.0
171;Local comercial;Jesús María;0;1;0;48;2000.0;1064.0;
172;Tienda/Salón;Ate;0;1;0;120;4000.0;1400.0;1500.0
173;Departamento;Rímac;4;4;4;380;40000.0;4700.0;1500.0
174;Local comercial;Pachacámac;0;0;0;35;1000.0;322.0;33.0
175;Local comercial;San Miguel;0;1;0;20;1000.0;690.0;58.0
176;Tienda/Salón;Ate;0;1;0;50;4500.0;1172.0;1327.0
177;Departamento;Jesús María;3;2;1;104;2200.0;740.0;258.0
178;Local comercial;Pachacámac;0;0;0;120;3000.0;1380.0;509.0
179;Departamento;Ate;2;1;1;72;2600.0;1700.0;237.0
180;Departamento;San Luis;2;1;0;75;1200.0;330.0;75.0
181;Local comercial;Jesús María;0;8;0;380;18000.0;5276.0;1851.0
182;Departamento;Chorrillos;4;1;1;190;5500.0;1720.0;350.0
183;Habitación;Lurín;0;0;0;20;700.0;500.0;28.0
184;Departamento;Comas;4;6;1;700;65000.0;8860.0;5699.0
185;Departamento;Santa Anita;2;0;0;56;899.0;402.0;135.0
186;Local comercial;Pachacámac;0;0;0;270;7000.0;2800.0;1249.0
187;Departamento;Callao;2;1;1;71;1200.0;600.0;54.0
188;Departamento;Pueblo Libre;3;1;2;105;3600.0;1100.0;281.0
189;Departamento;San Borja;3;1;1;500;15000.0;2580.0;366.0
190;Departamento;San Miguel;3;0;0;87;1600.0;650.0;100.0
191;Departamento;Chorrillos;1;0;0;35;1500.0;470.0;50.0
192;Local comercial;Ate;0;1;0;24;700.0;628.0;1120.0
193;Local comercial;San Miguel;0;0;0;21;1000.0;520.0;116.0
194;Departamento;Ate;1;1;1;65;2350.0;;
195;Departamento;Comas;3;3;1;220;22000.0;4000.0;1200.0
196;Departamento;San Borja;3;0;0;100;3300.0;850.0;90.0
197;Departamento;Ate;3;1;2;93;2500.0;1100.0;
198;Departamento;Santa Rosa;2;2;0;78;800.0;915.0;55.0
199;Departamento;Ate;2;1;1;85;2500.0;1573.0;197.0
200;Departamento;Rímac;2;1;1;115;7500.0;980.0;270.0
201;Departamento;Chorrillos;2;1;1;70;3700.0;1133.0;147.0
202;Departamento;Callao;2;1;1;95;1600.0;650.0;
203;Departamento;Ate;4;4;4;392;30000.0;7000.0;3000.0
204;Casa comercial;Chorrillos;0;0;0;220;16000.0;;
205;Departamento;Lince;2;0;0;60;1200.0;570.0;
206;Departamento;Villa El Salvador;1;0;0;40;1900.0;430.0;54.0
207;Cochera;San Miguel;0;0;0;0;380.0;;
208;Departamento;Santa María del Mar;3;1;1;61;1400.0;498.0;
209;Departamento;San Borja;3;2;1;250;7000.0;1500.0;434.0
210;Flat;San Borja;1;1;0;63;3600.0;1215.0;
211;Flat;Rímac;1;0;1;50;4500.0;1300.0;150.0
212;Departamento;Comas;3;2;1;200;15000.0;1500.0;572.0
213;Departamento;San Borja;3;1;0;140;3700.0;1347.0;
214;Tienda/Salón;San Luis;0;0;0;85;6500.0;;385.0
215;Departamento;San Borja;2;0;0;50;2500.0;750.0;760.0
216;Casa;Lurín;3;2;1;135;3000.0;;
217;Local comercial;Jesús María;0;1;0;58;2100.0;495.0;140.0
218;Departamento;San Miguel;3;1;1;78;2500.0;730.0;178.0
219;Local comercial;San Borja;0;2;0;210;25200.0;6300.0;1890.0
220;Habitación;Pachacámac;0;0;0;28;700.0;400.0;16.0
221;Departamento;Pueblo Libre;3;1;1;75;4000.0;1250.0;309.0
222;Local comercial;San Miguel;0;1;0;32;900.0;450.0;
223;Departamento;Jesús María;3;2;1;102;1850.0;882.0;
224;Departamento;San Miguel;1;0;0;65;1200.0;320.0;
225;Departamento;Ate;2;1;0;60;1500.0;1266.0;233.0
226;Departamento;San Borja;4;1;2;210;13000.0;2200.0;650.0
227;Departamento;San Luis;3;2;3;158;2400.0;1265.0;
228;Departamento;Ate;2;1;1;83;2000.0;1548.0;260.0
229;Departamento;Punta Hermosa;5;2;1;400;9000.0;3000.0;
230;Departamento;Ate;3;1;1;84;1900.0;1103.0;212.0
231;Departamento;Callao;3;1;1;77;1600.0;850.0;165.0
232;Local comercial;Jesús María;0;1;0;24;650.0;530.0;170.0
233;Departamento;Punta Hermosa;4;4;4;510;25000.0;6600.0;
234;Departamento;San Miguel;3;0;0;75;1800.0;350.0;
235;Departamento;Comas;3;1;1;126;5500.0;1400.0;2000.0
236;Casa;San Borja;2;0;0;40;950.0;;50.0
237;Departamento;Rímac;4;2;2;250;17500.0;4990.0;620.0
238;Local comercial;Chorrillos;0;8;0;463;92600.0;11843.0;14355.0
239;Local comercial;Pachacámac;0;0;0;190;4500.0;886.0;
240;Local comercial;Pachacámac;0;0;0;185;3000.0;10046.0;462.0
241;Local comercial;Pachacámac;0;4;0;230;7000.0;3130.0;1202.0
242;Local comercial;Pachacámac;0;0;0;55;1760.0;1420.0;
243;Departamento;San Borja;4;2;2;436;17000.0;3900.0;1000.0
244;Local comercial;Jesús María;0;1;0;80;2800.0;560.0;
245;Departamento;Callao;3;3;2;173;3200.0;1800.0;
246;Departamento;San Miguel;2;1;1;71;1500.0;600.0;
247;Departamento;Ate;2;1;1;81;1900.0;1200.0;121.0
248;Casa en condominio;Ate;4;2;4;595;30000.0;2500.0;2510.0
249;Departamento;Rímac;3;1;0;87;3800.0;970.0;273.0
250;Tienda/Salón;San Borja;0;0;0;13;1500.0;520.0;95.0
251;Tienda/Salón;Ate;0;1;0;95;15000.0;1800.0;1000.0
252;Local comercial;Pachacámac;0;0;0;150;4000.0;2000.0;700.0
253;Casa en condominio;Jesús María;4;4;4;267;6500.0;700.0;3308.0
254;Departamento;Punta Hermosa;4;1;2;288;7000.0;1870.0;582.0
255;Local comercial;Ate;0;1;0;25;1000.0;450.0;
256;Departamento;Jesús María;1;1;1;102;1900.0;688.0;
257;Departamento;Rímac;2;1;0;70;4200.0;1100.0;200.0
258;Departamento;Puente Piedra;1;0;0;46;1000.0;;
259;Departamento;Barranco;3;0;0;65;1200.0;350.0;16.0
260;Tienda/Salón;Ate;0;1;0;50;1100.0;1338.0;
261;Departamento;Ate;3;3;2;169;6500.0;1886.0;450.0
262;Habitación;San Borja;1;0;0;23;1000.0;562.0;
263;Departamento;Punta Hermosa;3;1;1;90;2400.0;1311.0;
264;Departamento;San Miguel;2;0;0;50;1800.0;347.0;25.0
265;Departamento;Santa Rosa;1;0;0;39;800.0;;
266;Departamento;Comas;3;1;1;140;6500.0;1800.0;506.0
267;Departamento;Lince;2;0;0;60;800.0;380.0;
268;Departamento;Comas;4;1;1;170;12000.0;1210.0;4222.0
269;Casa;San Miguel;4;1;1;191;4000.0;300.0;
270;Departamento;Pachacámac;1;0;0;35;1350.0;420.0;24.0
271;Departamento;San Miguel;2;0;0;63;1400.0;440.0;61.0
272;Casa en condominio;Punta Hermosa;3;2;1;250;5500.0;750.0;500.0
273;Departamento;San Borja;3;1;0;112;3800.0;1123.0;286.0
274;Tienda/Salón;Ate;0;8;0;500;38000.0;;4971.0
275;Departamento;Rímac;3;0;1;85;8500.0;;1719.0
276;Departamento;San Miguel;3;1;0;129;1800.0;850.0;116.0
277;Departamento;Ate;4;3;3;160;8600.0;2300.0;250.0
278;Local comercial;Pachacámac;0;0;0;100;2800.0;1500.0;490.0
279;Departamento;Jesús María;2;1;1;93;1400.0;1300.0;
280;Departamento;Callao;3;1;1;93;1800.0;650.0;95.0
281;Departamento;Ate;1;1;1;60;2200.0;1600.0;350.0
282;Local comercial;Puente Piedra;0;20;0;2160;129600.0;60480.0;
283;Departamento;San Luis;2;2;0;55;790.0;350.0;
284;Habitación;Pachacámac;1;0;0;33;990.0;463.0;25.0
285;Departamento;San Borja;2;0;0;54;1800.0;590.0;
286;Local comercial;Pachacámac;0;10;0;1136;136370.0;22728.0;5682.0
287;Casa comercial;La Punta;0;0;0;139;16740.0;1953.0;139.0
288;Flat;Ventanilla;1;1;1;55;3000.0;1865.0;337.0
289;Departamento;Lurín;2;1;1;70;3300.0;1365.0;180.0
290;Departamento;San Borja;5;1;3;390;10000.0;1000.0;1000.0
291;Departamento;San Luis;2;1;0;53;1300.0;492.0;16.0
292;Departamento;Santa María del Mar;2;0;0;70;800.0;;
293;Departamento;Chorrillos;1;0;0;35;1000.0;293.0;86.0
294;Departamento;San Miguel;3;1;0;164;3500.0;1310.0;257.0
295;Departamento;Lince;2;1;1;60;1200.0;524.0;13.0
296;Departamento;Bellavista;2;1;0;50;850.0;280.0;12.0
297;Departamento;Chorrillos;2;1;1;79;4315.0;1110.0;187.0
298;Departamento;Jesús María;2;1;1;80;1600.0;615.0;3.0
299;Departamento;San Miguel;1;0;0;36;1300.0;295.0;24.0
300;Departamento;Miraflores;4;4;3;190;5700.0;1069.0;808.0
301;Departamento;Callao;3;1;0;84;1500.0;900.0;
302;Departamento;Punta Negra;2;0;0;50;1000.0;600.0;
303;Habitación;San Borja;1;0;0;26;1400.0;370.0;21.0
304;Tienda/Salón;Jesús María;0;2;0;140;3990.0;1410.0;968.0
305;Edificio completo;Lince;0;0;0;650;35000.0;;
306;Casa en condominio;Ate;4;4;4;1000;30000.0;2695.0;23715.0
307;Local comercial;Pachacámac;0;0;0;120;3000.0;1380.0;507.0
308;Departamento;Chaclacayo;3;1;0;83;1500.0;440.0;132.0
309;Departamento;Santa Rosa;2;0;0;90;1000.0;150.0;
310;Departamento;Breña;1;0;0;57;3990.0;860.0;100.0
311;Departamento;San Luis;3;1;0;95;2500.0;600.0;80.0
312;Casa de villa;Pachacámac;2;1;2;115;1600.0;1.0;60.0
313;Departamento;Rímac;4;2;2;200;11000.0;2900.0;580.0
314;Tienda/Salón;San Martín de Porres;0;0;0;85;6500.0;;398.0
315;Departamento;Ate;2;1;1;63;1900.0;824.0;
316;Departamento;La Perla;2;1;1;100;3900.0;1300.0;320.0
317;Departamento;Comas;3;2;1;165;7500.0;2200.0;532.0
318;Almacén;Puente Piedra;0;0;0;1096;12000.0;;1771.0
319;Local comercial;Pachacámac;0;0;0;145;3800.0;1400.0;413.0
320;Departamento;Comas;3;2;2;160;6000.0;3500.0;4600.0
321;Local comercial;Villa El Salvador;0;0;0;32;1300.0;400.0;
322;Departamento;Villa El Salvador;1;1;0;48;2100.0;580.0;70.0
323;Departamento;Rímac;2;1;1;87;4800.0;1300.0;361.0
324;Casa de villa;Santiago de Surco;1;0;1;40;800.0;;
325;Departamento;Ate;3;1;1;105;2500.0;1400.0;1500.0
326;Almacén;Chaclacayo;0;3;0;404;15000.0;;370.0
327;Casa en condominio;Callao;2;1;0;163;1800.0;92.0;46.0
328;Local comercial;Pachacámac;0;0;0;87;3000.0;764.0;134.0
329;Habitación;San Borja;1;0;0;30;1300.0;370.0;30.0
330;Local comercial;Ate;0;9;0;190;10000.0;5503.0;1250.0
331;Local comercial;Rímac;0;0;0;6;900.0;;
332;Departamento;Ate;3;1;1;80;3500.0;1410.0;270.0
333;Local comercial;Pachacámac;0;0;0;375;18750.0;6340.0;2349.0
334;Departamento;Chorrillos;3;1;1;102;5100.0;1300.0;
335;Departamento;La Perla;3;0;1;120;2700.0;880.0;238.0
336;Departamento;Breña;2;2;1;112;4500.0;1300.0;
337;Local comercial;Pachacámac;0;0;0;34;1000.0;729.0;
338;Local comercial;Pachacámac;0;0;0;48;4500.0;885.0;380.0
339;Departamento;Mi Perú;2;0;0;60;900.0;160.0;25.0
340;Local comercial;Ate;0;2;0;80;5000.0;1100.0;3000.0
341;Departamento;Pueblo Libre;1;1;0;75;2800.0;800.0;210.0
342;Departamento;Comas;3;1;1;125;7000.0;2100.0;463.0
343;Local comercial;Rímac;0;0;0;120;20000.0;2400.0;616.0
344;Edificio completo;Punta Negra;0;0;0;1408;24000.0;;
345;Departamento;Santa Rosa;2;0;0;53;1400.0;460.0;12.0
346;Departamento;Jesús María;3;3;1;132;2800.0;879.0;
347;Loft;Ate;1;1;1;78;2700.0;1370.0;188.0
348;Departamento;Ate;2;2;1;86;3500.0;1307.0;
349;Departamento;Jesús María;2;1;1;80;1700.0;690.0;150.0
350;Almacén;Lince;0;3;0;300;6000.0;;
351;Departamento;Jesús María;4;2;2;200;3600.0;1177.0;320.0
352;Local comercial;Jesús María;0;1;0;23;900.0;500.0;
353;Almacén;Lince;0;0;0;1000;8000.0;;
354;Departamento;Ate;2;1;1;77;2500.0;830.0;156.0
355;Departamento;Santa Rosa;1;1;0;63;700.0;625.0;36.0
356;Local comercial;Pachacámac;0;0;0;22;800.0;264.0;83.0
357;Casa;Mi Perú;5;4;2;450;7000.0;;500.0
358;Departamento;Ate;4;2;2;149;4500.0;2130.0;
359;Departamento;Jesús María;3;2;2;106;2500.0;780.0;248.0
360;Local comercial;Chorrillos;0;10;0;534;45000.0;14850.0;
361;Departamento;Mi Perú;2;1;0;48;1100.0;400.0;
362;Departamento;Comas;4;1;2;250;12000.0;2300.0;1050.0
363;Departamento;La Perla;2;1;1;68;2700.0;850.0;186.0
364;Departamento;Ate;2;1;1;75;1400.0;1280.0;
365;Tienda/Salón;Ate;0;0;0;30;1100.0;;
366;Departamento;Comas;2;1;1;97;7000.0;4000.0;4725.0
367;Casa en condominio;Villa El Salvador;2;2;1;90;1700.0;618.0;338.0
368;Local comercial;Ate;0;1;0;72;2200.0;835.0;595.0
369;Departamento;Comas;3;0;0;70;900.0;200.0;30.0
370;Habitación;Rímac;1;0;0;30;1700.0;560.0;62.0
371;Departamento;San Borja;4;2;1;279;3150.0;2025.0;370.0
372;Casa;San Juan de Miraflores;2;1;0;59;1200.0;170.0;
373;Cochera;Pachacámac;0;1;0;0;250.0;;85.0
374;Local comercial;Ate;0;1;0;50;1600.0;870.0;406.0
375;Departamento;Punta Hermosa;5;3;2;713;30000.0;3800.0;
376;Local comercial;Chorrillos;0;28;0;1510;211400.0;50902.0;8138.0
377;Departamento;Comas;2;1;0;70;950.0;530.0;30.0
378;Casa;Lince;3;0;0;200;2100.0;;
379;Local comercial;Pachacámac;0;0;0;254;10000.0;5600.0;
380;Local comercial;Pachacámac;0;0;0;24;600.0;386.0;119.0
381;Departamento;Jesús María;4;2;1;400;3500.0;800.0;500.0
382;Local comercial;Pachacámac;0;0;0;250;8000.0;4790.0;1160.0
383;Local comercial;San Martín de Porres;0;1;0;29;1200.0;760.0;
384;Departamento;Jesús María;2;1;1;89;1800.0;884.0;170.0
385;Departamento;San Luis;1;1;1;120;1000.0;985.0;150.0
386;Departamento;Jesús María;4;3;2;181;3500.0;1080.0;423.0
387;Local comercial;Ate;0;1;0;22;750.0;399.0;52.0
388;Departamento;San Miguel;2;1;1;70;1500.0;890.0;68.0
389;Local comercial;Puente Piedra;0;0;0;175;5250.0;1750.0;
390;Casa en condominio;Ate;5;6;5;640;13800.0;980.0;1800.0
391;Departamento;Bellavista;2;0;0;70;1000.0;32.0;
392;Local comercial;San Miguel;0;0;0;150;7200.0;1700.0;481.0
393;Local comercial;Pachacámac;0;0;0;219;23000.0;5938.0;1303.0
394;Local comercial;Pachacámac;0;0;0;322;8500.0;4315.0;81.0
395;Local comercial;Punta Negra;1;1;0;25;800.0;427.0;471.0
396;Departamento;San Isidro;2;0;0;40;600.0;415.0;
397;Departamento;Jesús María;2;0;0;75;1700.0;659.0;
398;Departamento;San Borja;2;1;1;81;2900.0;893.0;190.0
399;Local comercial;Ate;0;4;0;350;16500.0;6030.0;3980.0
400;Casa;Chaclacayo;2;0;0;51;1000.0;;
401;Casa en condominio;Ate;5;3;5;1000;20000.0;1800.0;1800.0
402;Departamento;Lince;2;0;1;58;1000.0;;
403;Flat;Breña;1;1;0;55;2000.0;1232.0;176.0
404;Local comercial;Pachacámac;0;0;0;360;9000.0;2968.0;1208.0
405;Departamento;Chorrillos;3;0;0;90;900.0;330.0;15.0
406;Departamento;Ventanilla;3;3;1;124;1700.0;1400.0;
407;Departamento;Jesús María;5;3;4;430;6000.0;899.0;750.0
408;Tienda/Salón;Ate;0;0;0;210;55000.0;;3000.0
409;Departamento;Comas;2;0;1;75;5200.0;476.0;120.0
410;Local comercial;Jesús María;0;1;0;34;1600.0;732.0;141.0
411;Departamento;Punta Hermosa;5;2;3;400;13000.0;4165.0;689.0
412;Tienda/Salón;Jesús María;0;1;0;54;1500.0;364.0;173.0
413;Departamento;Callao;3;2;1;126;1500.0;1000.0;150.0
414;Departamento;Punta Hermosa;2;1;1;70;2300.0;620.0;190.0
415;Departamento;Jesús María;3;2;1;94;1900.0;1300.0;198.0
